id,mon,stay,freq,plan,ad,ad1,ad2,ad3,ad4,ad5,ad6,ad7,ad8,ad8_1,ad8_2,ad8_3,ad8_4,ad8_5,inf01,inf02,inf03,inf04,inf05,inf06,inf07,inf08,inf09,inf10,item1,item2,item3,item4,item5,item6,item7,item8,item9,purp1,purp2,att01,att02,att03,att04,att05,att06,att07,att08,att09,att10,att11,att12,att13,att14,att15,att16,att17,att18,type,s1,s2,s3,s4,s5,s6,s7,s8,btimes,bprice,act01,act02,act03,act04,act05,act06,act07,act08,act09,act10,act11,act12,act13,act14,act15,act16,act17,act18,act19,ts01,ts02,ts03,ts04,ts05,ts06,ts07,ts08,ts09,ts10,s11,s12,s13,s13a,s14,s15,s16,s17,s21,s22,s23,s31,s32,s33,s34,s35,ssall,i01,i02,i03,i04,i05,i06,i07,i08,i09,i10,i11,i12,i13,i14,i15,i16,i17,i18,i19,nation,resid,prov,age,income,educ,occup,gender,area
10001,1,12,4,180,1,5,0,0,0,0,0,0,5,1,1,0,1,0,1,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,1,0,0,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,.,.,.,.,.,.,.,.,.,.,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,5,5,0,0,3,4,4,5,5,4,4,3,5,5,5,5,5,5,5,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,.,3,2,3,7,1,1
10002,1,6,1,30,2,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,5,5,5,5,5,5,5,4,3,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,3,0,0,5,0,0,0,5,0,4,4,0,0,0,4,4,3,3,5,5,4,5,5,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,6,8,3,12,2,1
10003,1,6,1,30,1,0,0,0,0,0,4,4,0,.,.,.,.,.,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,4,4,5,4,5,5,5,4,4,4,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,4,0,0,5,0,0,0,4,0,3,3,4,0,0,4,4,3,4,4,4,4,4,4,4,4,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,2,6,8,2,12,1,1
10004,1,7,1,14,2,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5,4,5,5,5,5,6,4,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,0,3,3,2,0,0,4,4,3,3,4,4,5,5,5,4,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,5,8,3,12,2,1
10005,1,7,1,30,1,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4,5,5,5,3,6,4,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,0,0,4,4,3,0,0,4,4,3,4,4,4,5,4,5,4,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,6,8,2,12,1,1
10006,1,17,2,30,2,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,99,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,5,0,0,0,0,0,3,0,0,0,5,2,5,2,5,5,3,5,5,5,5,5,5,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,.,5,7,3,3,1,1
10007,1,7,1,7,2,.,.,.,.,.,.,.,.,.,.,.,.,.,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,5,5,10,3,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,4,0,4,5,0,0,0,5,5,4,5,5,5,5,5,5,5,5,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,5,7,8,2,12,2,1
10008,1,7,1,14,1,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,1,1,99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4,4,5,3,5,5,5,4,10,4,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,5,0,0,5,0,0,0,4,0,5,5,2,0,0,5,5,2,5,5,5,5,5,5,5,5,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,5,2,2,2,5,2,1
10009,1,5,1,90,2,.,.,.,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,1,2,4,4,4,4,8,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,0,3,0,4,4,4,0,0,4,4,3,3,5,5,4,4,4,4,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6,3,3,2,8,1,1
10010,1,5,1,90,1,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,5,3,5,5,5,4,8,3,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5,0,5,5,3,0,0,5,5,2,5,5,5,5,5,5,5,5,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,6,3,2,3,5,2,1
10011,1,6,2,180,1,0,0,0,0,0,5,0,0,.,.,.,.,.,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,1,0,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,.,.,.,.,.,.,.,.,.,.,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,5,5,0,0,0,5,0,0,5,0,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,1,0,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,0,6,6,.,2,1,3,2,2,1
10012,1,15,1,3,1,0,0,0,0,0,0,5,0,.,.,.,.,.,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,99,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,.,.,.,.,.,.,.,.,.,.,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,5,5,5,0,0,0,5,5,0,0,0,5,4,4,4,4,4,3,4,4,5,5,5,5,4,4,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,11,11,.,2,3,3,1,1,1
10013,1,4,4,30,1,0,0,0,0,0,0,0,4,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,99,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,5,5,3,5,5,5,5,3,5,5,5,5,5,5,5,5,5,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,3,.,2,1,2,10,2,1
10014,1,4,1,20,1,0,0,0,4,0,0,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,99,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,.,.,.,.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,5,0,0,4,4,5,3,4,5,5,3,4,4,5,0,3,5,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,.,5,3,3,1,1,1
10015,1,4,2,30,1,0,0,0,0,0,5,5,5,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,99,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,5,.,.,.,.,.,.,.,.,.,.,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,5,5,5,5,5,4,4,5,5,5,5,4,4,4,5,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,8,2,.,3,3,3,2,2,1
10016,1,11,1,30,1,0,0,5,0,0,0,0,0,.,.,.,.,.,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,99,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,5,.,.,.,.,.,.,.,.,.,.,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,1,0,5,5,5,0,0,0,0,5,0,0,0,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,8,1,.,2,3,2,13,1,1
